date,symbol,series,prev close,open,high,low,last,close,vwap,volume,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,close_14_ema_x,close_14_ema_y,Text_Dominant_Topic,Text_Perc_Contribution,TWT_Dominant_Topic,TWT_Perc_Contribution
19/02/19,SBIN,EQ,259.95,260.9,267.5,260.3,262.75,262.9,264.23,19064306,0,0,0,0,0,0,486,3,0,2.605,0.395,1.3543,274.3363574,274.3363574,0,0,2,0.8814
20/02/19,SBIN,EQ,262.9,264.5,268.3,264.3,268,267.7,266.29,15514595,178,0,0,0.912,0.088,0.4767,487,3,0,2.806,0.194,1.9453,273.4515097,273.4515097,4,0.8433,2,0.4668
21/02/19,SBIN,EQ,267.7,270.3,271,267.3,268,268,269.15,13760702,0,0,0,0,0,0,488,1,0.04,1.817,0.144,0.8017,272.7246418,272.7246418,0,0,0,0.4078
22/02/19,SBIN,EQ,268,267.9,271.9,267.6,270.8,270.95,270.17,12536918,179,0,0.147,0.734,0.119,-0.128,489,3,0,2.633,0.367,1.4102,272.4880229,272.4880229,3,0.4068,2,0.4747
25/02/19,SBIN,EQ,270.95,271.3,271.4,267.9,270.15,270.15,269.49,20793897,180,1,0,2,0,0,490,10,0.781,4.011,0.208,-0.3653,272.1762865,272.1762865,4,0.6668,2,0.8343
26/02/19,SBIN,EQ,270.15,266.8,268.2,263.25,266.15,266.35,265.93,15274303,0,0,0,0,0,0,491,0,0.008,0.94,0.052,0.8957,271.3994483,271.3994483,0,0,2,0.8679
27/02/19,SBIN,EQ,266.35,268,272.7,266.55,267.6,267.65,269.18,20571652,0,0,0,0,0,0,492,1,0,1.864,0.136,1.8787,270.8995218,270.8995218,0,0,2,0.8866
28/02/19,SBIN,EQ,267.65,267.7,270.8,267.65,269.15,269.05,269.19,31636468,0,0,0,0,0,0,493,6,0.075,3.745,0.18,0.7772,270.6529189,270.6529189,0,0,2,0.4948
01/03/19,SBIN,EQ,269.05,270.55,274.6,270.1,272.85,272.95,272.87,20024726,0,0,0,0,0,0,494,28,0.258,7.522,0.22,1.063,270.9591964,270.9591964,0,0,0,0.3901
05/03/19,SBIN,EQ,272.95,271.7,277.85,271.2,275.95,276.45,275.82,21533972,181,0,0,1,0,0,495,10,0.49,4.179,0.331,1.2026,271.6913036,271.6913036,4,0.7196,0,0.5512
06/03/19,SBIN,EQ,276.45,277.3,282.55,276.45,278.1,278.1,279.31,22161376,182,0,0,0.927,0.073,0.128,496,3,0.061,2.593,0.346,1.6657,272.5457964,272.5457964,4,0.5118,2,0.4345
07/03/19,SBIN,EQ,278.1,279.45,282.5,277.65,281.95,281.75,280.16,14899105,0,0,0,0,0,0,497,10,0.242,4.094,0.664,1.3059,273.7730236,273.7730236,0,0,2,0.6518
08/03/19,SBIN,EQ,281.75,281.85,284.25,279.6,281.5,281.2,282.38,19943319,0,0,0,0,0,0,498,55,1.425,9.188,0.388,-1.396,274.7632871,274.7632871,0,0,2,0.8441
